ID,Country
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
8,Albania
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
12,Algeria
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
28,Antigua and Barbuda
